run_tag,dataset,model,status,split_mode,dataset_path,output_root,train_samples,val_samples,test_samples,feature_count,dropped_nan_columns,best_epoch,epochs_ran,final_fit_epochs,best_val_loss,prediction_path,history_path,n_qubits,n_qlayers,n_esteps,data_reupload,quantum_backend,mae,mse,rmse,r2
task1a-deep-quantum-full2021,minimal,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,15,25,15,0.04018932580947876,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/predictions/minimal__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/histories/minimal__QFreTS_Deep.json,8,1,1,True,default.qubit,0.05097941309213638,0.009071637876331806,0.09524514620877962,0.9799164533615112
task1a-deep-quantum-full2021,minimal,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,8,18,8,0.041798412799835205,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/predictions/minimal__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/histories/minimal__QCrossformer_Deep.json,8,1,1,True,default.qubit,0.08032841235399246,0.013077874667942524,0.11435853561471712,0.9710471034049988
task1a-deep-quantum-full2021,extended,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,16,26,16,0.03964971254269282,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/predictions/extended__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/histories/extended__QFreTS_Deep.json,8,1,1,True,default.qubit,0.05598710477352142,0.009627167135477066,0.09811812847520618,0.9786865711212158
task1a-deep-quantum-full2021,extended,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,6,16,6,0.038393753270308174,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/predictions/extended__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb8_n1/runs/task1a-deep-quantum-full2021/histories/extended__QCrossformer_Deep.json,8,1,1,True,default.qubit,0.07433570921421051,0.012734656222164631,0.11284793406245695,0.9718069434165955
