run_tag,dataset,model,status,split_mode,dataset_path,output_root,train_samples,val_samples,test_samples,feature_count,dropped_nan_columns,best_epoch,epochs_ran,final_fit_epochs,best_val_loss,prediction_path,history_path,n_qubits,n_qlayers,n_esteps,data_reupload,quantum_backend,mae,mse,rmse,r2
task1a-deep-quantum-full2021,minimal,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,18,28,18,0.03897980973124504,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/predictions/minimal__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/histories/minimal__QFreTS_Deep.json,4,2,1,True,default.qubit,0.05181135609745979,0.00913217756897211,0.09556242760087309,0.9797824025154114
task1a-deep-quantum-full2021,minimal,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,3,13,3,0.04365904629230499,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/predictions/minimal__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/histories/minimal__QCrossformer_Deep.json,4,2,1,True,default.qubit,0.09251171350479126,0.01604311168193817,0.12666140565278033,0.9644824266433716
task1a-deep-quantum-full2021,extended,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,12,22,12,0.03822140643994013,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/predictions/extended__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/histories/extended__QFreTS_Deep.json,4,2,1,True,default.qubit,0.05893513560295105,0.01005457527935505,0.1002725051016232,0.9777403473854065
task1a-deep-quantum-full2021,extended,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,15,25,15,0.037867301454146705,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/predictions/extended__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_dq_nqb4_nl2/runs/task1a-deep-quantum-full2021/histories/extended__QCrossformer_Deep.json,4,2,1,True,default.qubit,0.060055725276470184,0.010418152436614037,0.10206935111292731,0.9769354462623596
