run_tag,dataset,model,status,split_mode,dataset_path,output_root,train_samples,val_samples,test_samples,feature_count,dropped_nan_columns,best_epoch,epochs_ran,final_fit_epochs,best_val_loss,prediction_path,history_path,n_qubits,n_qlayers,n_esteps,data_reupload,quantum_backend,mae,mse,rmse,r2
task1a-deep-quantum-full2021,minimal,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,8,18,8,0.03893911962707838,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/predictions/minimal__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/histories/minimal__QFreTS_Deep.json,4,1,1,True,default.qubit,0.05178273841738701,0.009017514064908028,0.09496059216805688,0.9800362586975098
task1a-deep-quantum-full2021,minimal,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_minimal.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021,1621,285,1906,9,,5,15,5,0.039297414322694145,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/predictions/minimal__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/histories/minimal__QCrossformer_Deep.json,4,1,1,True,default.qubit,0.10911242663860321,0.02097470313310623,0.1448264586776402,0.953564465045929
task1a-deep-quantum-full2021,extended,QFreTS_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,11,21,11,0.0391132781902949,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/predictions/extended__QFreTS_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/histories/extended__QFreTS_Deep.json,4,1,1,True,default.qubit,0.05244927480816841,0.009145689196884632,0.09563309676510864,0.9797524809837341
task1a-deep-quantum-full2021,extended,QCrossformer_Deep,ok,full_2021,/home/tawheed/exp/project_qml/QLSTM/data/preprocessed/task1a/wildfire_risk_extended.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021,1621,285,1906,20,avg_ppc,7,17,7,0.037686076015233994,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/predictions/extended__QCrossformer_Deep.csv,/home/tawheed/exp/project_qml/QLSTM/output/task1a_deep_quantum/runs/task1a-deep-quantum-full2021/histories/extended__QCrossformer_Deep.json,4,1,1,True,default.qubit,0.0932888612151146,0.016026828438043594,0.12659711070179916,0.9645184874534607
